id,text,pos
130,"""i noticed the general release version is nine minutes shorter than the sundance version.""","[('``', '``'), ('i', 'NN'), ('noticed', 'VBD'), ('the', 'DT'), ('general', 'JJ'), ('release', 'NN'), ('version', 'NN'), ('is', 'VBZ'), ('nine', 'CD'), ('minutes', 'NNS'), ('shorter', 'JJR'), ('than', 'IN'), ('the', 'DT'), ('sundance', 'NN'), ('version', 'NN'), ('.', '.'), (""''"", ""''"")]"
131,"""i wonder if some of the more disturbing images were cut from the movie.the director told a story and did it in straightforward fashion which is a refreshing change from many directors these days who seem to think their job is to impress the audience rather than tell a story and tell it well.do not be sucker punched by the previews and ads.""","[('``', '``'), ('i', 'JJ'), ('wonder', 'VBP'), ('if', 'IN'), ('some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('more', 'RBR'), ('disturbing', 'JJ'), ('images', 'NNS'), ('were', 'VBD'), ('cut', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('movie.the', 'NN'), ('director', 'NN'), ('told', 'VBD'), ('a', 'DT'), ('story', 'NN'), ('and', 'CC'), ('did', 'VBD'), ('it', 'PRP'), ('in', 'IN'), ('straightforward', 'NN'), ('fashion', 'NN'), ('which', 'WDT'), ('is', 'VBZ'), ('a', 'DT'), ('refreshing', 'VBG'), ('change', 'NN'), ('from', 'IN'), ('many', 'JJ'), ('directors', 'NNS'), ('these', 'DT'), ('days', 'NNS'), ('who', 'WP'), ('seem', 'VBP'), ('to', 'TO'), ('think', 'VB'), ('their', 'PRP$'), ('job', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('impress', 'VB'), ('the', 'DT'), ('audience', 'NN'), ('rather', 'RB'), ('than', 'IN'), ('tell', 'VB'), ('a', 'DT'), ('story', 'NN'), ('and', 'CC'), ('tell', 'VB'), ('it', 'PRP'), ('well.do', 'VBZ'), ('not', 'RB'), ('be', 'VB'), ('sucker', 'VBN'), ('punched', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('previews', 'NNS'), ('and', 'CC'), ('ads', 'NNS'), ('.', '.'), (""''"", ""''"")]"
132,"""it is not a hitchcockian thriller.""","[('``', '``'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('a', 'DT'), ('hitchcockian', 'JJ'), ('thriller', 'NN'), ('.', '.'), (""''"", ""''"")]"
133,"""see the night listener because you want to see a good story told well.""","[('``', '``'), ('see', 'VB'), ('the', 'DT'), ('night', 'NN'), ('listener', 'NN'), ('because', 'IN'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('see', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('story', 'NN'), ('told', 'VBN'), ('well', 'RB'), ('.', '.'), (""''"", ""''"")]"
134,"""if you go expecting hitchcock you will be disappointed.my only complaint with the movie was the ending.""","[('``', '``'), ('if', 'IN'), ('you', 'PRP'), ('go', 'VBP'), ('expecting', 'VBG'), ('hitchcock', 'NN'), ('you', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('disappointed.my', 'VBN'), ('only', 'RB'), ('complaint', 'NN'), ('with', 'IN'), ('the', 'DT'), ('movie', 'NN'), ('was', 'VBD'), ('the', 'DT'), ('ending', 'VBG'), ('.', '.'), (""''"", ""''"")]"
135,"""the director could have left a little more to the audiences imagination but this is a minor quibble.""","[('``', '``'), ('the', 'DT'), ('director', 'NN'), ('could', 'MD'), ('have', 'VB'), ('left', 'VBN'), ('a', 'DT'), ('little', 'RB'), ('more', 'RBR'), ('to', 'TO'), ('the', 'DT'), ('audiences', 'NNS'), ('imagination', 'NN'), ('but', 'CC'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('minor', 'JJ'), ('quibble', 'NN'), ('.', '.'), (""''"", ""''"")]"
136,"""the night listener is probably not one of williams best roles but he makes a very interesting character in a somewhat odd but very different movie.""","[('``', '``'), ('the', 'DT'), ('night', 'NN'), ('listener', 'NN'), ('is', 'VBZ'), ('probably', 'RB'), ('not', 'RB'), ('one', 'CD'), ('of', 'IN'), ('williams', 'NN'), ('best', 'JJS'), ('roles', 'NNS'), ('but', 'CC'), ('he', 'PRP'), ('makes', 'VBZ'), ('a', 'DT'), ('very', 'RB'), ('interesting', 'JJ'), ('character', 'NN'), ('in', 'IN'), ('a', 'DT'), ('somewhat', 'RB'), ('odd', 'JJ'), ('but', 'CC'), ('very', 'RB'), ('different', 'JJ'), ('movie', 'NN'), ('.', '.'), (""''"", ""''"")]"
137,"""i can guarantee you that you have never seen this kind of movie before.""","[('``', '``'), ('i', 'NN'), ('can', 'MD'), ('guarantee', 'VB'), ('you', 'PRP'), ('that', 'IN'), ('you', 'PRP'), ('have', 'VBP'), ('never', 'RB'), ('seen', 'VBN'), ('this', 'DT'), ('kind', 'NN'), ('of', 'IN'), ('movie', 'NN'), ('before', 'IN'), ('.', '.'), (""''"", ""''"")]"
138,"""some people maybe wont like the slow pacing of this movie but i think its the great plus of the movie.""","[('``', '``'), ('some', 'DT'), ('people', 'NNS'), ('maybe', 'RB'), ('wont', 'VBP'), ('like', 'IN'), ('the', 'DT'), ('slow', 'JJ'), ('pacing', 'NN'), ('of', 'IN'), ('this', 'DT'), ('movie', 'NN'), ('but', 'CC'), ('i', 'JJ'), ('think', 'VBP'), ('its', 'PRP$'), ('the', 'DT'), ('great', 'JJ'), ('plus', 'NN'), ('of', 'IN'), ('the', 'DT'), ('movie', 'NN'), ('.', '.'), (""''"", ""''"")]"
139,"""it is definitely one of the top movies that have come out the year 2006. it has a intriguing performance in a movie with a great content dramatic feeling.""","[('``', '``'), ('it', 'PRP'), ('is', 'VBZ'), ('definitely', 'RB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('top', 'JJ'), ('movies', 'NNS'), ('that', 'WDT'), ('have', 'VBP'), ('come', 'VBN'), ('out', 'RP'), ('the', 'DT'), ('year', 'NN'), ('2006.', 'CD'), ('it', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('intriguing', 'JJ'), ('performance', 'NN'), ('in', 'IN'), ('a', 'DT'), ('movie', 'NN'), ('with', 'IN'), ('a', 'DT'), ('great', 'JJ'), ('content', 'JJ'), ('dramatic', 'JJ'), ('feeling', 'NN'), ('.', '.'), (""''"", ""''"")]"
140,"""this is no americanized movie.""","[('``', '``'), ('this', 'DT'), ('is', 'VBZ'), ('no', 'DT'), ('americanized', 'JJ'), ('movie', 'NN'), ('.', '.'), (""''"", ""''"")]"
141,"""neither is it a predictable movie.""","[('``', '``'), ('neither', 'DT'), ('is', 'VBZ'), ('it', 'PRP'), ('a', 'DT'), ('predictable', 'JJ'), ('movie', 'NN'), ('.', '.'), (""''"", ""''"")]"
142,"""you just feel that it is a movie that has secrets which you have a hard time to determine what the outcome of it may be.""","[('``', '``'), ('you', 'PRP'), ('just', 'RB'), ('feel', 'VB'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('movie', 'NN'), ('that', 'WDT'), ('has', 'VBZ'), ('secrets', 'NNS'), ('which', 'WDT'), ('you', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('hard', 'JJ'), ('time', 'NN'), ('to', 'TO'), ('determine', 'VB'), ('what', 'WP'), ('the', 'DT'), ('outcome', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('may', 'MD'), ('be', 'VB'), ('.', '.'), (""''"", ""''"")]"
143,"""this is no excellent movie that has everything but hell its a damn good and very original movie.""","[('``', '``'), ('this', 'DT'), ('is', 'VBZ'), ('no', 'DT'), ('excellent', 'JJ'), ('movie', 'NN'), ('that', 'WDT'), ('has', 'VBZ'), ('everything', 'NN'), ('but', 'CC'), ('hell', 'VB'), ('its', 'PRP$'), ('a', 'DT'), ('damn', 'NN'), ('good', 'JJ'), ('and', 'CC'), ('very', 'RB'), ('original', 'JJ'), ('movie', 'NN'), ('.', '.'), (""''"", ""''"")]"
144,"""like one of the previous commenters said this had the foundations of a great movie but something happened on the way to delivery.""","[('``', '``'), ('like', 'IN'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('previous', 'JJ'), ('commenters', 'NNS'), ('said', 'VBD'), ('this', 'DT'), ('had', 'VBD'), ('the', 'DT'), ('foundations', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('great', 'JJ'), ('movie', 'NN'), ('but', 'CC'), ('something', 'NN'), ('happened', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('way', 'NN'), ('to', 'TO'), ('delivery', 'NN'), ('.', '.'), (""''"", ""''"")]"
145,"""such a waste because collettes performance was eerie and williams was believable.""","[('``', '``'), ('such', 'JJ'), ('a', 'DT'), ('waste', 'NN'), ('because', 'IN'), ('collettes', 'NNS'), ('performance', 'NN'), ('was', 'VBD'), ('eerie', 'JJ'), ('and', 'CC'), ('williams', 'NNS'), ('was', 'VBD'), ('believable', 'JJ'), ('.', '.'), (""''"", ""''"")]"
146,"""i just kept waiting for it to get better.""","[('``', '``'), ('i', 'NN'), ('just', 'RB'), ('kept', 'VBD'), ('waiting', 'VBG'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('get', 'VB'), ('better', 'JJR'), ('.', '.'), (""''"", ""''"")]"
147,"""i dont think it was bad editing or needed another director it could have just been the film.""","[('``', '``'), ('i', 'JJ'), ('dont', 'NN'), ('think', 'VBP'), ('it', 'PRP'), ('was', 'VBD'), ('bad', 'JJ'), ('editing', 'NN'), ('or', 'CC'), ('needed', 'VBN'), ('another', 'DT'), ('director', 'NN'), ('it', 'PRP'), ('could', 'MD'), ('have', 'VB'), ('just', 'RB'), ('been', 'VBN'), ('the', 'DT'), ('film', 'NN'), ('.', '.'), (""''"", ""''"")]"
148,"""it came across as a canadian movie something like the first few seasons of x files.""","[('``', '``'), ('it', 'PRP'), ('came', 'VBD'), ('across', 'IN'), ('as', 'IN'), ('a', 'DT'), ('canadian', 'JJ'), ('movie', 'NN'), ('something', 'NN'), ('like', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('few', 'JJ'), ('seasons', 'NNS'), ('of', 'IN'), ('x', 'JJ'), ('files', 'NNS'), ('.', '.'), (""''"", ""''"")]"
149,"""not cheap just hokey.""","[('``', '``'), ('not', 'RB'), ('cheap', 'JJ'), ('just', 'RB'), ('hokey', 'NN'), ('.', '.'), (""''"", ""''"")]"
150,"""also it needed a little more suspense.""","[('``', '``'), ('also', 'RB'), ('it', 'PRP'), ('needed', 'VBD'), ('a', 'DT'), ('little', 'RB'), ('more', 'JJR'), ('suspense', 'NN'), ('.', '.'), (""''"", ""''"")]"
151,"""something that makes you jump off your seat.""","[('``', '``'), ('something', 'NN'), ('that', 'WDT'), ('makes', 'VBZ'), ('you', 'PRP'), ('jump', 'VB'), ('off', 'RP'), ('your', 'PRP$'), ('seat', 'NN'), ('.', '.'), (""''"", ""''"")]"
152,"""the movie reached that moment then faded away; kind of like a false climax.""","[('``', '``'), ('the', 'DT'), ('movie', 'NN'), ('reached', 'VBD'), ('that', 'IN'), ('moment', 'NN'), ('then', 'RB'), ('faded', 'VBD'), ('away', 'RB'), (';', ':'), ('kind', 'NN'), ('of', 'IN'), ('like', 'IN'), ('a', 'DT'), ('false', 'JJ'), ('climax', 'NN'), ('.', '.'), (""''"", ""''"")]"
153,"""i can see how being too suspenseful would have taken away from the reality of the story but i thought that part was reached when gabriel was in the hospital looking for the boy.""","[('``', '``'), ('i', 'NN'), ('can', 'MD'), ('see', 'VB'), ('how', 'WRB'), ('being', 'VBG'), ('too', 'RB'), ('suspenseful', 'JJ'), ('would', 'MD'), ('have', 'VB'), ('taken', 'VBN'), ('away', 'RB'), ('from', 'IN'), ('the', 'DT'), ('reality', 'NN'), ('of', 'IN'), ('the', 'DT'), ('story', 'NN'), ('but', 'CC'), ('i', 'JJ'), ('thought', 'VBD'), ('that', 'IN'), ('part', 'NN'), ('was', 'VBD'), ('reached', 'VBN'), ('when', 'WRB'), ('gabriel', 'NN'), ('was', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('hospital', 'NN'), ('looking', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('boy', 'NN'), ('.', '.'), (""''"", ""''"")]"
154,"""this movie needs to have a directors cut that tries to fix these problems.""","[('``', '``'), ('this', 'DT'), ('movie', 'NN'), ('needs', 'VBZ'), ('to', 'TO'), ('have', 'VB'), ('a', 'DT'), ('directors', 'NNS'), ('cut', 'VBD'), ('that', 'IN'), ('tries', 'NNS'), ('to', 'TO'), ('fix', 'VB'), ('these', 'DT'), ('problems', 'NNS'), ('.', '.'), (""''"", ""''"")]"
155,"""the night listener held my attention with robin williams shining as a new york city radio host who becomes enamored with his friendship with a 14 year old boy rory culkin who is very ill. williams has never met the boy in person as they have only been in contact by talking on the telephone.""","[('``', '``'), ('the', 'DT'), ('night', 'NN'), ('listener', 'NN'), ('held', 'VBD'), ('my', 'PRP$'), ('attention', 'NN'), ('with', 'IN'), ('robin', 'JJ'), ('williams', 'NNS'), ('shining', 'VBG'), ('as', 'IN'), ('a', 'DT'), ('new', 'JJ'), ('york', 'NN'), ('city', 'NN'), ('radio', 'NN'), ('host', 'NN'), ('who', 'WP'), ('becomes', 'VBZ'), ('enamored', 'VBN'), ('with', 'IN'), ('his', 'PRP$'), ('friendship', 'NN'), ('with', 'IN'), ('a', 'DT'), ('14', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('boy', 'NN'), ('rory', 'NN'), ('culkin', 'NN'), ('who', 'WP'), ('is', 'VBZ'), ('very', 'RB'), ('ill.', 'JJ'), ('williams', 'NN'), ('has', 'VBZ'), ('never', 'RB'), ('met', 'VBN'), ('the', 'DT'), ('boy', 'NN'), ('in', 'IN'), ('person', 'NN'), ('as', 'IN'), ('they', 'PRP'), ('have', 'VBP'), ('only', 'RB'), ('been', 'VBN'), ('in', 'IN'), ('contact', 'NN'), ('by', 'IN'), ('talking', 'VBG'), ('on', 'IN'), ('the', 'DT'), ('telephone', 'NN'), ('.', '.'), (""''"", ""''"")]"
156,"""however williams ex boyfriend nice job from bobby cannavale raises doubt about the boy which prompts williams to arrange a meeting with him in person.""","[('``', '``'), ('however', 'RB'), ('williams', 'JJ'), ('ex', 'VBP'), ('boyfriend', 'JJ'), ('nice', 'JJ'), ('job', 'NN'), ('from', 'IN'), ('bobby', 'JJ'), ('cannavale', 'NN'), ('raises', 'VBZ'), ('doubt', 'NN'), ('about', 'IN'), ('the', 'DT'), ('boy', 'NN'), ('which', 'WDT'), ('prompts', 'VBZ'), ('williams', 'NNS'), ('to', 'TO'), ('arrange', 'VB'), ('a', 'DT'), ('meeting', 'NN'), ('with', 'IN'), ('him', 'PRP'), ('in', 'IN'), ('person', 'NN'), ('.', '.'), (""''"", ""''"")]"
157,"""what follows makes a permanent impact on williams in a way he does not expect.""","[('``', '``'), ('what', 'WP'), ('follows', 'VBZ'), ('makes', 'VBZ'), ('a', 'DT'), ('permanent', 'JJ'), ('impact', 'NN'), ('on', 'IN'), ('williams', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('way', 'NN'), ('he', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('expect', 'VB'), ('.', '.'), (""''"", ""''"")]"
158,"""i will leave it at that.""","[('``', '``'), ('i', 'NN'), ('will', 'MD'), ('leave', 'VB'), ('it', 'PRP'), ('at', 'IN'), ('that', 'DT'), ('.', '.'), (""''"", ""''"")]"
159,"""toni collette also stars.i enjoyed this film with toni collette giving a memorable portrayal of culkins adoptive mother.""","[('``', '``'), ('toni', 'NN'), ('collette', 'NN'), ('also', 'RB'), ('stars.i', 'VBZ'), ('enjoyed', 'VBN'), ('this', 'DT'), ('film', 'NN'), ('with', 'IN'), ('toni', 'JJ'), ('collette', 'NN'), ('giving', 'VBG'), ('a', 'DT'), ('memorable', 'JJ'), ('portrayal', 'NN'), ('of', 'IN'), ('culkins', 'NNS'), ('adoptive', 'JJ'), ('mother', 'NN'), ('.', '.'), (""''"", ""''"")]"
160,"""sandra oh also starred as williams friend.""","[('``', '``'), ('sandra', 'NN'), ('oh', 'NN'), ('also', 'RB'), ('starred', 'VBD'), ('as', 'IN'), ('williams', 'NNS'), ('friend', 'VBP'), ('.', '.'), (""''"", ""''"")]"
161,"""the night listener is inspired by actual events and it has a somber almost creepy silence throughout.""","[('``', '``'), ('the', 'DT'), ('night', 'NN'), ('listener', 'NN'), ('is', 'VBZ'), ('inspired', 'VBN'), ('by', 'IN'), ('actual', 'JJ'), ('events', 'NNS'), ('and', 'CC'), ('it', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('somber', 'NN'), ('almost', 'RB'), ('creepy', 'JJ'), ('silence', 'NN'), ('throughout', 'IN'), ('.', '.'), (""''"", ""''"")]"
162,"""at times it is predictable no thanks to some of the reviews i read before seeing the movie and just due to logic but i liked it anyway.""","[('``', '``'), ('at', 'IN'), ('times', 'NNS'), ('it', 'PRP'), ('is', 'VBZ'), ('predictable', 'JJ'), ('no', 'DT'), ('thanks', 'NNS'), ('to', 'TO'), ('some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('reviews', 'NNS'), ('i', 'VBP'), ('read', 'VBN'), ('before', 'IN'), ('seeing', 'VBG'), ('the', 'DT'), ('movie', 'NN'), ('and', 'CC'), ('just', 'RB'), ('due', 'JJ'), ('to', 'TO'), ('logic', 'VB'), ('but', 'CC'), ('i', 'VB'), ('liked', 'VBD'), ('it', 'PRP'), ('anyway', 'RB'), ('.', '.'), (""''"", ""''"")]"
163,"""i enjoy williams in roles like this more so than his comedic characters so that was an added bonus for me.""","[('``', '``'), ('i', 'NN'), ('enjoy', 'VBP'), ('williams', 'NNS'), ('in', 'IN'), ('roles', 'NNS'), ('like', 'IN'), ('this', 'DT'), ('more', 'RBR'), ('so', 'RB'), ('than', 'IN'), ('his', 'PRP$'), ('comedic', 'JJ'), ('characters', 'NNS'), ('so', 'IN'), ('that', 'DT'), ('was', 'VBD'), ('an', 'DT'), ('added', 'JJ'), ('bonus', 'NN'), ('for', 'IN'), ('me', 'PRP'), ('.', '.'), (""''"", ""''"")]"
164,"""recommended.""","[('``', '``'), ('recommended', 'VBD'), ('.', '.'), (""''"", ""''"")]"
165,"""8 10""","[('``', '``'), ('8', 'CD'), ('10', 'CD'), (""''"", ""''"")]"
166,"""popular radio storyteller gabriel no onerobin williamsscraggy and speaking in hushedhypnotic tones becomes acquainted and friends with a fourteen year old boy from wisconsin named pete logandrory culkinwho has written a book detailing sexual abuse from his parents.""","[('``', '``'), ('popular', 'JJ'), ('radio', 'NN'), ('storyteller', 'NN'), ('gabriel', 'NN'), ('no', 'DT'), ('onerobin', 'NN'), ('williamsscraggy', 'NN'), ('and', 'CC'), ('speaking', 'NN'), ('in', 'IN'), ('hushedhypnotic', 'JJ'), ('tones', 'NNS'), ('becomes', 'RB'), ('acquainted', 'VBN'), ('and', 'CC'), ('friends', 'NNS'), ('with', 'IN'), ('a', 'DT'), ('fourteen', 'JJ'), ('year', 'NN'), ('old', 'JJ'), ('boy', 'NN'), ('from', 'IN'), ('wisconsin', 'NN'), ('named', 'VBN'), ('pete', 'JJ'), ('logandrory', 'NN'), ('culkinwho', 'NN'), ('has', 'VBZ'), ('written', 'VBN'), ('a', 'DT'), ('book', 'NN'), ('detailing', 'VBG'), ('sexual', 'JJ'), ('abuse', 'NN'), ('from', 'IN'), ('his', 'PRP$'), ('parents', 'NNS'), ('.', '.'), (""''"", ""''"")]"
167,"""to bootpete has aids and this compels gabriel further stillsince his partner jessbobby cannavalegoodhappens to be a survivor of hiv himself.""","[('``', '``'), ('to', 'TO'), ('bootpete', 'VB'), ('has', 'VBZ'), ('aids', 'NNS'), ('and', 'CC'), ('this', 'DT'), ('compels', 'NNS'), ('gabriel', 'VBP'), ('further', 'JJ'), ('stillsince', 'NN'), ('his', 'PRP$'), ('partner', 'NN'), ('jessbobby', 'NN'), ('cannavalegoodhappens', 'NNS'), ('to', 'TO'), ('be', 'VB'), ('a', 'DT'), ('survivor', 'NN'), ('of', 'IN'), ('hiv', 'NN'), ('himself', 'PRP'), ('.', '.'), (""''"", ""''"")]"
168,"""he also acquaints himself with petes guardiana woman named donnatoni collettebrilliant!and when gabriel decides he wants to meet and talk to the two of them in person and goes to wisconsinhe discovers some secrets he wasnaturallynot prepared to find.based on real events that happened to armistead maupinwho co wrote the screenplay with terry andersonand directed by patrick stetnerthis film moves a lot faster90 min.maybe a few minutes longerthan one might think a movie of this genre would run.""","[('``', '``'), ('he', 'PRP'), ('also', 'RB'), ('acquaints', 'VBZ'), ('himself', 'PRP'), ('with', 'IN'), ('petes', 'NNS'), ('guardiana', 'VBP'), ('woman', 'NN'), ('named', 'VBN'), ('donnatoni', 'JJ'), ('collettebrilliant', 'NN'), ('!', '.'), ('and', 'CC'), ('when', 'WRB'), ('gabriel', 'NN'), ('decides', 'VBZ'), ('he', 'PRP'), ('wants', 'VBZ'), ('to', 'TO'), ('meet', 'VB'), ('and', 'CC'), ('talk', 'VB'), ('to', 'TO'), ('the', 'DT'), ('two', 'CD'), ('of', 'IN'), ('them', 'PRP'), ('in', 'IN'), ('person', 'NN'), ('and', 'CC'), ('goes', 'VBZ'), ('to', 'TO'), ('wisconsinhe', 'VB'), ('discovers', 'NNS'), ('some', 'DT'), ('secrets', 'NNS'), ('he', 'PRP'), ('wasnaturallynot', 'RB'), ('prepared', 'VBD'), ('to', 'TO'), ('find.based', 'VBN'), ('on', 'IN'), ('real', 'JJ'), ('events', 'NNS'), ('that', 'WDT'), ('happened', 'VBD'), ('to', 'TO'), ('armistead', 'VB'), ('maupinwho', 'FW'), ('co', 'JJ'), ('wrote', 'VBD'), ('the', 'DT'), ('screenplay', 'NN'), ('with', 'IN'), ('terry', 'JJ'), ('andersonand', 'NN'), ('directed', 'VBN'), ('by', 'IN'), ('patrick', 'NN'), ('stetnerthis', 'NN'), ('film', 'NN'), ('moves', 'VBZ'), ('a', 'DT'), ('lot', 'NN'), ('faster90', 'NN'), ('min.maybe', 'VBZ'), ('a', 'DT'), ('few', 'JJ'), ('minutes', 'NNS'), ('longerthan', 'VBP'), ('one', 'CD'), ('might', 'MD'), ('think', 'VB'), ('a', 'DT'), ('movie', 'NN'), ('of', 'IN'), ('this', 'DT'), ('genre', 'NN'), ('would', 'MD'), ('run', 'VB'), ('.', '.'), (""''"", ""''"")]"
169,"""thats good in that it keeps the action and storyline lean and clear.""","[('``', '``'), ('thats', 'NNS'), ('good', 'JJ'), ('in', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('keeps', 'VBZ'), ('the', 'DT'), ('action', 'NN'), ('and', 'CC'), ('storyline', 'JJ'), ('lean', 'NN'), ('and', 'CC'), ('clear', 'JJ'), ('.', '.'), (""''"", ""''"")]"
170,"""its bad in that it leaves various holes in the plot and doesnt sew up any of the plot openings or back story.""","[('``', '``'), ('its', 'PRP$'), ('bad', 'JJ'), ('in', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('leaves', 'VBZ'), ('various', 'JJ'), ('holes', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('plot', 'NN'), ('and', 'CC'), ('doesnt', 'NN'), ('sew', 'VBP'), ('up', 'RP'), ('any', 'DT'), ('of', 'IN'), ('the', 'DT'), ('plot', 'NN'), ('openings', 'NNS'), ('or', 'CC'), ('back', 'RB'), ('story', 'NN'), ('.', '.'), (""''"", ""''"")]"
171,"""id rather not go into any great detail except to say thatif you are not familiar with mr.maupins works or his personal storyyou feel a little bit out of the loop here.""","[('``', '``'), ('id', 'NN'), ('rather', 'RB'), ('not', 'RB'), ('go', 'VB'), ('into', 'IN'), ('any', 'DT'), ('great', 'JJ'), ('detail', 'NN'), ('except', 'IN'), ('to', 'TO'), ('say', 'VB'), ('thatif', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('familiar', 'JJ'), ('with', 'IN'), ('mr.maupins', 'NNS'), ('works', 'NNS'), ('or', 'CC'), ('his', 'PRP$'), ('personal', 'JJ'), ('storyyou', 'NN'), ('feel', 'VB'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN'), ('out', 'IN'), ('of', 'IN'), ('the', 'DT'), ('loop', 'NN'), ('here', 'RB'), ('.', '.'), (""''"", ""''"")]"
172,"""stillthe performances by williams i wouldve loved to heard more of his narrationpersonallycollettecannavaleculkin and much of the supporting castthe waitress at the restaurant colletes donna frequents does a great job with what small part she has!are top notch and the mood established here  namelythe chillylonely dark exteriors of wisconsin and new york  give a terrific framing for this story.""","[('``', '``'), ('stillthe', 'NN'), ('performances', 'NNS'), ('by', 'IN'), ('williams', 'NNS'), ('i', 'JJ'), ('wouldve', 'VBP'), ('loved', 'VBN'), ('to', 'TO'), ('heard', 'VB'), ('more', 'JJR'), ('of', 'IN'), ('his', 'PRP$'), ('narrationpersonallycollettecannavaleculkin', 'NN'), ('and', 'CC'), ('much', 'RB'), ('of', 'IN'), ('the', 'DT'), ('supporting', 'VBG'), ('castthe', 'NN'), ('waitress', 'NN'), ('at', 'IN'), ('the', 'DT'), ('restaurant', 'NN'), ('colletes', 'VBZ'), ('donna', 'JJ'), ('frequents', 'NNS'), ('does', 'VBZ'), ('a', 'DT'), ('great', 'JJ'), ('job', 'NN'), ('with', 'IN'), ('what', 'WP'), ('small', 'JJ'), ('part', 'NN'), ('she', 'PRP'), ('has', 'VBZ'), ('!', '.'), ('are', 'VBP'), ('top', 'JJ'), ('notch', 'NN'), ('and', 'CC'), ('the', 'DT'), ('mood', 'NN'), ('established', 'VBN'), ('here', 'RB'), ('namelythe', 'RB'), ('chillylonely', 'RB'), ('dark', 'JJ'), ('exteriors', 'NNS'), ('of', 'IN'), ('wisconsin', 'NN'), ('and', 'CC'), ('new', 'JJ'), ('york', 'NN'), ('give', 'VBP'), ('a', 'DT'), ('terrific', 'NN'), ('framing', 'VBG'), ('for', 'IN'), ('this', 'DT'), ('story', 'NN'), ('.', '.'), (""''"", ""''"")]"
173,"""it may have ends that dont tie together particularly wellbut its still a compelling enough story to stick with.""","[('``', '``'), ('it', 'PRP'), ('may', 'MD'), ('have', 'VB'), ('ends', 'NNS'), ('that', 'WDT'), ('dont', 'VBP'), ('tie', 'JJ'), ('together', 'RB'), ('particularly', 'RB'), ('wellbut', 'VB'), ('its', 'PRP$'), ('still', 'RB'), ('a', 'DT'), ('compelling', 'JJ'), ('enough', 'JJ'), ('story', 'NN'), ('to', 'TO'), ('stick', 'VB'), ('with', 'IN'), ('.', '.'), (""''"", ""''"")]"
174,"""if there is one thing to recommend about this film is that it is intriguing.""","[('``', '``'), ('if', 'IN'), ('there', 'EX'), ('is', 'VBZ'), ('one', 'CD'), ('thing', 'NN'), ('to', 'TO'), ('recommend', 'VB'), ('about', 'IN'), ('this', 'DT'), ('film', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('intriguing', 'VBG'), ('.', '.'), (""''"", ""''"")]"
175,"""the premise certainly draws the audience in because it is a mystery and throughout the film there are hints that there is something dark lurking about.""","[('``', '``'), ('the', 'DT'), ('premise', 'NN'), ('certainly', 'RB'), ('draws', 'VBZ'), ('the', 'DT'), ('audience', 'NN'), ('in', 'IN'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('mystery', 'NN'), ('and', 'CC'), ('throughout', 'IN'), ('the', 'DT'), ('film', 'NN'), ('there', 'EX'), ('are', 'VBP'), ('hints', 'NNS'), ('that', 'IN'), ('there', 'EX'), ('is', 'VBZ'), ('something', 'NN'), ('dark', 'JJ'), ('lurking', 'VBG'), ('about', 'RB'), ('.', '.'), (""''"", ""''"")]"
